corpus,branch,source_mode,smoother,param,group,n_frames,ccc,mae,rmse,pearson,novice_n_frames,novice_ccc,novice_mae,novice_rmse,novice_pearson,expert_n_frames,expert_ccc,expert_mae,expert_rmse,expert_pearson
noxi,metadata_head,role,causal_median,12,overall,577136,0.8532985915766883,0.05664093179734114,0.07307427047039776,0.8539970211830511,288568,0.6722201410886368,0.05514724080160697,0.07167691841737234,0.6751691950361491,288568,0.834396318535328,0.05813462279307531,0.07444539862040529,0.836061436828573
noxi,metadata_head,role,deadband,0.02:0.2,overall,577136,0.8529060646459234,0.05657144649835735,0.07291395142956394,0.8538552230311769,288568,0.6716538811298303,0.054971490621576254,0.07129218258736746,0.6751788493017472,288568,0.8331779835160015,0.05817140237513845,0.07450042501942576,0.8352056017073776
noxi,metadata_head,role,ema,0.1,overall,577136,0.8528486841178728,0.056632227705157856,0.07307664518216933,0.8536456138850012,288568,0.6701841266698728,0.05514496448887494,0.07164963094287793,0.6735228338811758,288568,0.833731503920413,0.05811949092144079,0.07447632192791702,0.8355795967084724
noxi,metadata_head,shared,center_median,100,overall,577136,0.8522647524390173,0.05623643102099503,0.0724112870567926,0.8538734936459502,288568,0.6545359000909903,0.05540620842926166,0.0713472633104434,0.6625476520657709,288568,0.8313389214452838,0.05706665361272842,0.07345990065711154,0.836864907032703
noxi,metadata_head,role,center_median,100,overall,577136,0.8515731369138658,0.05640960063793128,0.0726920663218511,0.8531730085520873,288568,0.6563282922147243,0.05512691314093147,0.07127084203636523,0.66416542381047,288568,0.8314182454080173,0.05769228813493109,0.07408603166392619,0.8350079342832577
noxi,metadata_head,shared,causal_mean,25,overall,577136,0.8509852348334035,0.05688353024916655,0.0734111224768161,0.851745875093074,288568,0.6623010492190625,0.0558772363151633,0.07237334070589421,0.6657325354948057,288568,0.8309488726157417,0.057889824183169784,0.07443443666530125,0.8341336856569148
noxi,metadata_head,shared,causal_median,25,overall,577136,0.8504761929132058,0.05699884035399924,0.0735761976721464,0.8511935923940599,288568,0.661441841741489,0.05599366264623948,0.07255378688453434,0.6647040144973169,288568,0.8304402002770548,0.058004018061758984,0.07458459449842904,0.8335535993334382
noxi,metadata_head,role,causal_mean,25,overall,577136,0.8500819356012433,0.05713076057947615,0.07377453394289381,0.850863359126057,288568,0.6640222838356259,0.055653392756627285,0.07235133822027595,0.6672716033754753,288568,0.8306803160681699,0.058608128402324995,0.07517078937138824,0.8324992979153563
noxi,metadata_head,shared,center_mean,100,overall,577136,0.8498461766777449,0.05647423136057568,0.07261539104639331,0.8521000559454984,288568,0.6472606349145132,0.055546767523677085,0.07151626226678533,0.6567497611900365,288568,0.8285979313385182,0.05740169519747428,0.07369812931838643,0.8350526376266789
noxi,metadata_head,role,causal_median,25,overall,577136,0.8495652939614929,0.05724629174640237,0.07394186447621239,0.8503026827840009,288568,0.6631774010602994,0.0557668429396702,0.07253024820962586,0.6662645857889036,288568,0.8301573786963123,0.05872574055313456,0.07532703192803486,0.8319110049068487
noxi,metadata_head,role,center_mean,100,overall,577136,0.8492451028560223,0.05661672754064041,0.07286199420716283,0.8514767272640669,288568,0.649421382701541,0.05522337959947766,0.07138501855920983,0.6587208019973377,288568,0.8287240199483389,0.05801007548180317,0.07430961933014142,0.833195337546689
noxi,metadata_head,shared,ema,0.05,overall,577136,0.8489253693072535,0.057091047261273405,0.07371320796506772,0.84989963588196,288568,0.6560316973348437,0.0560164891616149,0.07256283755673698,0.6603157978183719,288568,0.8280537232115691,0.05816560536093192,0.07484589943822738,0.831709417798383
