corpus,branch,source_mode,smoother,param,dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,metadata_head,best_single,ema,0.2,noxi,009,45214,0.5824191511936366,0.06635334063308633,0.08440393729789444,0.596098071641931
noxi,metadata_head,best_single,ema,0.2,noxi,011,72010,0.8653394338362304,0.05599934985232018,0.07875715482094675,0.8679146825792797
noxi,metadata_head,best_single,ema,0.2,noxi,014,53448,0.7339745110896121,0.06885593789997335,0.08337273531123729,0.7838209668597005
noxi,metadata_head,best_single,ema,0.2,noxi,058,75506,0.6609317801717893,0.05629531175813786,0.07438951690991996,0.6656558596919875
noxi,metadata_head,best_single,ema,0.2,noxi,062,67788,0.5154208148668389,0.09190627469901456,0.11448982389279189,0.6302983897166191
noxi,metadata_head,best_single,ema,0.2,noxi,063,31992,0.7803522161667481,0.08859624790277687,0.11472472594868509,0.8197483775003074
noxi,metadata_head,best_single,ema,0.2,noxi,074,47716,0.7956199268163857,0.053695929907527105,0.06947014337541393,0.8051542695089632
noxi,metadata_head,best_single,ema,0.2,noxi,075,49752,0.8603828959378494,0.05166945279994135,0.07029665594947547,0.8781874292988898
noxi,metadata_head,best_single,ema,0.2,noxi,076,25068,0.7348601384239162,0.06090838397625777,0.08067185628199401,0.7850155935176483
noxi,metadata_head,best_single,ema,0.35,noxi,007,108642,0.9105463419130098,0.056341203896469495,0.07304250782554189,0.9135270662868893
noxi,metadata_head,best_single,ema,0.35,noxi,009,45214,0.5807956709395147,0.06658085822152238,0.08472283658370909,0.5947237974135665
noxi,metadata_head,best_single,ema,0.35,noxi,011,72010,0.8670325700155253,0.055684602552415516,0.07832582121409382,0.8695003215045842
noxi,metadata_head,best_single,ema,0.35,noxi,014,53448,0.7361994089857659,0.06860059853697023,0.08314075294407985,0.7864782543306772
noxi,metadata_head,best_single,ema,0.35,noxi,058,75506,0.6580335247608976,0.05664480078749024,0.0748263299364665,0.6627248897064578
noxi,metadata_head,best_single,ema,0.35,noxi,062,67788,0.5141600617017235,0.09212819003964645,0.1148279246988752,0.6293860402679968
noxi,metadata_head,best_single,ema,0.35,noxi,063,31992,0.7800086170817997,0.08873859632023275,0.11489197682765906,0.8192043916777404
noxi,metadata_head,best_single,ema,0.35,noxi,074,47716,0.7952807259559619,0.053770559272847476,0.06959792305405732,0.8048802297754708
noxi,metadata_head,best_single,ema,0.35,noxi,075,49752,0.8606403017607916,0.051753372832709615,0.07026972755093101,0.878607279754134
noxi,metadata_head,best_single,ema,0.35,noxi,076,25068,0.7377598903814141,0.06061812740334925,0.08034921084716692,0.7884507768401025
noxi,metadata_head,best_single,ema,0.5,noxi,007,108642,0.9104753657285856,0.056385255580480347,0.07308836617098423,0.9134257340618003
