domain,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio,excess_flips
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,social,17295,0.2531367447239086,0.14308666384989358,4,17291,6,113,0.0003470013301717657,0.0065351917182349195,18.833333333333332,107
CR,hmm_uniform_start,mix=0.5;strength=1;alpha=1,task,65346,0.802344443424234,0.5744029564876827,5,65341,25,278,0.00038260816332777274,0.004254602776204833,11.12,253
CR,hmm_uniform_start,mix=0.5;strength=1;alpha=1,social,17295,0.24937843307314253,0.14126496201307318,4,17291,6,91,0.0003470013301717657,0.005262853507605112,15.166666666666666,85
CR,hmm_uniform_start,mix=0.5;strength=2;alpha=1,task,65346,0.805604015548006,0.580158677760538,5,65341,25,208,0.00038260816332777274,0.0031832999188870694,8.32,183
CR,hmm_uniform_start,mix=0.5;strength=2;alpha=1,social,17295,0.24845331020526162,0.1438514213826663,4,17291,6,68,0.0003470013301717657,0.003932681741946677,11.333333333333334,62
CR,hmm_uniform_start,mix=0.5;strength=4;alpha=1,task,65346,0.8079760046521592,0.5823287184847735,5,65341,25,158,0.00038260816332777274,0.002418083592231524,6.32,133
CR,hmm_uniform_start,mix=0.5;strength=4;alpha=1,social,17295,0.24689216536571262,0.14565859061333744,4,17291,6,49,0.0003470013301717657,0.002833844196402753,8.166666666666666,43
CR,hmm_uniform_start,mix=0.75;strength=0.25;alpha=1,task,65346,0.7964680317081382,0.5650153380799645,5,65341,25,356,0.00038260816332777274,0.005448340245787484,14.24,331
CR,hmm_uniform_start,mix=0.75;strength=0.25;alpha=1,social,17295,0.2531367447239086,0.1429261358635825,4,17291,6,117,0.0003470013301717657,0.00676652593834943,19.5,111
CR,hmm_uniform_start,mix=0.75;strength=0.5;alpha=1,task,65346,0.7998500290759955,0.5703279151841693,5,65341,25,304,0.00038260816332777274,0.004652515266065717,12.16,279
CR,hmm_uniform_start,mix=0.75;strength=0.5;alpha=1,social,17295,0.2518068806013299,0.1422318384209903,4,17291,6,98,0.0003470013301717657,0.005667688392805506,16.333333333333332,92
CR,hmm_uniform_start,mix=0.75;strength=1;alpha=1,task,65346,0.805374468215346,0.5800411946494527,5,65341,25,225,0.00038260816332777274,0.0034434734699499547,9.0,200
CR,hmm_uniform_start,mix=0.75;strength=1;alpha=1,social,17295,0.24833766984677652,0.1434581026379601,4,17291,6,77,0.0003470013301717657,0.004453183737204326,12.833333333333334,71
CR,hmm_uniform_start,mix=0.75;strength=2;alpha=1,task,65346,0.8065834175006886,0.5818466022913862,5,65341,25,179,0.00038260816332777274,0.002739474449426853,7.16,154
CR,hmm_uniform_start,mix=0.75;strength=2;alpha=1,social,17295,0.24689216536571262,0.14476988324232168,4,17291,6,52,0.0003470013301717657,0.0030073448614886355,8.666666666666666,46
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,task,65346,0.8181372999112417,0.5993596224398331,5,65341,25,118,0.00038260816332777274,0.0018059105309070874,4.72,93
CR,hmm_uniform_start,mix=0.75;strength=4;alpha=1,social,17295,0.2368892743567505,0.14105274580080446,4,17291,6,34,0.0003470013301717657,0.0019663408709733386,5.666666666666667,28
CR,hmm_uniform_start,mix=1;strength=0.25;alpha=1,task,65346,0.802757628623022,0.5753822522482137,5,65341,25,262,0.00038260816332777274,0.004009733551675059,10.48,237
CR,hmm_uniform_start,mix=1;strength=0.25;alpha=1,social,17295,0.24833766984677652,0.1434581026379601,4,17291,6,77,0.0003470013301717657,0.004453183737204326,12.833333333333334,71
CR,hmm_uniform_start,mix=1;strength=0.5;alpha=1,task,65346,0.8056805313255593,0.579991141158931,5,65341,25,191,0.00038260816332777274,0.0029231263678241837,7.64,166
CR,hmm_uniform_start,mix=1;strength=0.5;alpha=1,social,17295,0.24741254697889564,0.1441277740136822,4,17291,6,61,0.0003470013301717657,0.003527846856746284,10.166666666666666,55
CR,hmm_uniform_start,mix=1;strength=1;alpha=1,task,65346,0.807256756343158,0.5810147257499918,5,65341,25,149,0.00038260816332777274,0.0022803446534335257,5.96,124
CR,hmm_uniform_start,mix=1;strength=1;alpha=1,social,17295,0.2366579936397803,0.1400398484184419,4,17291,6,41,0.0003470013301717657,0.002371175756173732,6.833333333333333,35
CR,hmm_uniform_start,mix=1;strength=2;alpha=1,task,65346,0.820050194350075,0.6033280328299622,5,65341,25,91,0.00038260816332777274,0.0013926937145130928,3.64,66
CR,hmm_uniform_start,mix=1;strength=2;alpha=1,social,17295,0.2276380456779416,0.136957461629243,4,17291,6,26,0.0003470013301717657,0.0015036724307443178,4.333333333333333,20
CR,hmm_uniform_start,mix=1;strength=4;alpha=1,task,65346,0.8314663483610321,0.623070195885479,5,65341,25,64,0.00038260816332777274,0.0009794768981190984,2.56,39
CR,hmm_uniform_start,mix=1;strength=4;alpha=1,social,17295,0.23712055507372073,0.14350636751834103,4,17291,6,16,0.0003470013301717657,0.0009253368804580418,2.6666666666666665,10
CR,baseline,none,mean,82641,0.5238689328927829,0.35198521500583824,9,82632,31,835,0.0003751573240391132,0.010105044050730951,26.93548387096774,804
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,mean,82641,0.52460435104945,0.3531403868744737,9,82632,31,563,0.0003751573240391132,0.006813341078516798,18.161290322580644,532
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,mean,82641,0.5251008740743017,0.3538399021714514,9,82632,31,510,0.0003751573240391132,0.006171943072901539,16.451612903225808,479
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,mean,82641,0.5256772309936866,0.35540363692606003,9,82632,31,445,0.0003751573240391132,0.005385322877335657,14.35483870967742,414
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,mean,82641,0.5246650805536605,0.3572397584837555,9,82632,31,359,0.0003751573240391132,0.004344563849356182,11.580645161290322,328
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,mean,82641,0.5286125766348979,0.36435881554206595,9,82632,31,268,0.0003751573240391132,0.003243295575563946,8.64516129032258,237
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,mean,82641,0.5251008740743017,0.35385423884377315,9,82632,31,512,0.0003751573240391132,0.006196146771226644,16.516129032258064,481
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,mean,82641,0.5253150439256308,0.3548424811461607,9,82632,31,457,0.0003751573240391132,0.005530545067286281,14.741935483870968,426
CR,hmm_uniform_start,mix=0.5;strength=1;alpha=1,mean,82641,0.5258614382486883,0.3578339592503779,9,82632,31,369,0.0003751573240391132,0.004465582340981702,11.903225806451612,338
CR,hmm_uniform_start,mix=0.5;strength=2;alpha=1,mean,82641,0.5270286628766339,0.3620050495716021,9,82632,31,276,0.0003751573240391132,0.0033401103688643625,8.903225806451612,245
CR,hmm_uniform_start,mix=0.5;strength=4;alpha=1,mean,82641,0.527434085008936,0.36399365454905547,9,82632,31,207,0.0003751573240391132,0.002505082776648272,6.67741935483871,176
CR,hmm_uniform_start,mix=0.75;strength=0.25;alpha=1,mean,82641,0.5248023882160234,0.3539707369717735,9,82632,31,473,0.0003751573240391132,0.005724174653887114,15.258064516129032,442
CR,hmm_uniform_start,mix=0.75;strength=0.5;alpha=1,mean,82641,0.5258284548386627,0.3562798768025798,9,82632,31,402,0.0003751573240391132,0.004864943363345919,12.96774193548387,371
CR,hmm_uniform_start,mix=0.75;strength=1;alpha=1,mean,82641,0.5268560690310613,0.3617496486437064,9,82632,31,302,0.0003751573240391132,0.0036547584470907153,9.741935483870968,271
