bias2,train_kappa,train_accuracy,train_class2_precision,train_class2_recall,train_class2_f1,train_class2_predicted,train_class2_tp,train_class2_fp,train_class2_fn,val_kappa,val_accuracy,val_class2_precision,val_class2_recall,val_class2_f1,val_class2_predicted,val_class2_tp,val_class2_fp,val_class2_fn
-1.1,0.7854120417646938,0.9028799171141997,0.9799695615886886,0.7786392050164321,0.8677799575043881,81476,79844,1632,22699,0.12461592720842107,0.21347210176351547,1.0,0.006434134778191669,0.012786002691790038,76,76,0,11736
-1.05,0.7906703823179729,0.9051629210996947,0.9791441970940026,0.7879426191938992,0.8731992521425253,82519,80798,1721,21745,0.12479546036624896,0.21376120265972826,1.0,0.006857433118862174,0.013621458000504497,81,81,0,11731
-1.0,0.7959120183273605,0.9074459250851896,0.9785226864599545,0.7970900012677609,0.8785369183062561,83530,81736,1794,20807,0.12499023366943905,0.2141081237351836,1.0,0.00736539112766678,0.01462307756954366,87,87,0,11725
-0.95,0.8007954040407552,0.9095831500248606,0.9777861935926719,0.8057107749919546,0.8834473909324209,84497,82620,1877,19923,0.12512704449880888,0.2143394044521538,1.0,0.0077040298002031835,0.015290262958917921,91,91,0,11721
-0.9,0.8056465974803791,0.9117125653727909,0.976965641487582,0.814409564767951,0.8883121303663362,85481,83512,1969,19031,0.12532195988610942,0.21468632552760913,1.0,0.008211987809007788,0.01629020068855487,97,97,0,11715
-0.85,0.8100064836626765,0.9136285185464788,0.9761425197944159,0.8223574500453469,0.8926751036092542,86388,84327,2061,18216,0.12556815064453322,0.21514888696154957,1.0,0.008889265154080596,0.017621884702525802,105,105,0,11707
-0.8,0.814171966011017,0.9154637726055141,0.9752701603199523,0.8299445110831554,0.8967577421156337,87263,85105,2158,17438,0.12584356769620214,0.2156692685747326,1.0,0.009651202167287504,0.01911789367767902,114,114,0,11698
-0.75,0.8184125476067985,0.9173302650315117,0.9744843547911325,0.8376290921857172,0.9008889005427799,88142,85893,2249,16650,0.12635894505313536,0.21665221162185602,1.0,0.01109041652556722,0.021937536632336937,131,131,0,11681
-0.7,0.8223685142560244,0.9190822167786475,0.9736351172147176,0.8448748329968891,0.9046965148152982,88982,86636,2346,15907,0.12676749442019414,0.21751951431049435,0.9931972789115646,0.012360311547578733,0.024416757253950996,147,146,1,11666
-0.65,0.8256223887730042,0.9205139752644198,0.9725444314446487,0.8511648771734784,0.9078153602928941,89745,87281,2464,15262,0.1273615956023549,0.21896501879155825,0.9661016949152542,0.014476803250931257,0.028526148969889066,177,171,6,11641
