run,target_subset,mode,param,frames,canonical_frames,numbered_blank_frames,soft_kappa,confidence_weighted_soft_kappa,pred_flip_rate
cr_social,augmented,hmm,mix=0.5;strength=8;alpha=1,132557,17295,115262,0.10618779616966273,0.14380031011607908,0.0033420846158488744
cr_social,canonical,hmm,mix=0.5;strength=12;alpha=1,17295,17295,0,0.528951170243811,0.528951170243811,0.0026025099762882423
cr_social,numbered_blank,hmm,mix=0.5;strength=12;alpha=1,115262,0,115262,0.0618645015923513,0.06121947071633629,0.0024987636325776307
cr_social,augmented,hmm,mix=0.5;strength=12;alpha=1,132557,17295,115262,0.10973009905713745,0.1483846930806187,0.0023915142736435514
cr_social,canonical,hmm,mix=0.75;strength=0.25;alpha=1,17295,17295,0,0.4711777022912948,0.4711777022912948,0.009484703024694927
cr_social,numbered_blank,hmm,mix=0.75;strength=0.25;alpha=1,115262,0,115262,0.05225651009699704,0.05166771117912008,0.010454896448805713
cr_social,augmented,hmm,mix=0.75;strength=0.25;alpha=1,132557,17295,115262,0.09631771871396001,0.13159337113983996,0.010229947492304907
cr_social,canonical,hmm,mix=0.75;strength=0.5;alpha=1,17295,17295,0,0.4769864509580609,0.4769864509580609,0.006940026603435313
cr_social,numbered_blank,hmm,mix=0.75;strength=0.5;alpha=1,115262,0,115262,0.05287792917450988,0.05229887270073788,0.008719643926182357
cr_social,augmented,hmm,mix=0.75;strength=0.5;alpha=1,132557,17295,115262,0.09756097871387726,0.13331465813916843,0.008389160480415233
cr_social,canonical,hmm,mix=0.75;strength=1;alpha=1,17295,17295,0,0.4830169618955944,0.4830169618955944,0.005841189057891389
cr_social,numbered_blank,hmm,mix=0.75;strength=1;alpha=1,115262,0,115262,0.053740558979394705,0.05315725993326744,0.0071405641305951045
cr_social,augmented,hmm,mix=0.75;strength=1;alpha=1,132557,17295,115262,0.09897769893516614,0.13517239676740042,0.0068727744583257895
cr_social,canonical,hmm,mix=0.75;strength=2;alpha=1,17295,17295,0,0.4878196353407663,0.4878196353407663,0.005494187727719623
cr_social,numbered_blank,hmm,mix=0.75;strength=2;alpha=1,115262,0,115262,0.0558489810648644,0.05525068248614065,0.005327225244453699
cr_social,augmented,hmm,mix=0.75;strength=2;alpha=1,132557,17295,115262,0.10098002682325581,0.13721648445678286,0.005250769509324642
cr_social,canonical,hmm,mix=0.75;strength=4;alpha=1,17295,17295,0,0.507803695731792,0.507803695731792,0.0036435139668035393
cr_social,numbered_blank,hmm,mix=0.75;strength=4;alpha=1,115262,0,115262,0.058512633208146266,0.057896415665605924,0.0039650520141943655
cr_social,augmented,hmm,mix=0.75;strength=4;alpha=1,132557,17295,115262,0.10493179254397406,0.14228129100997414,0.0038098255778864143
cr_social,canonical,hmm,mix=0.75;strength=8;alpha=1,17295,17295,0,0.528951170243811,0.528951170243811,0.0026025099762882423
cr_social,numbered_blank,hmm,mix=0.75;strength=8;alpha=1,115262,0,115262,0.061531577061721326,0.06088674393963633,0.002490087369964514
cr_social,augmented,hmm,mix=0.75;strength=8;alpha=1,132557,17295,115262,0.1093982737913603,0.14806315998614009,0.0023839700645784294
cr_social,canonical,hmm,mix=0.75;strength=12;alpha=1,17295,17295,0,0.5322038160734641,0.5322038160734641,0.002486842866230987
cr_social,numbered_blank,hmm,mix=0.75;strength=12;alpha=1,115262,0,115262,0.061521054652149555,0.06086359174436693,0.0018306914113676393
cr_social,augmented,hmm,mix=0.75;strength=12;alpha=1,132557,17295,115262,0.10961675585563745,0.14850153395990012,0.0017955217574989438
cr_social,canonical,hmm,mix=1;strength=0.25;alpha=1,17295,17295,0,0.4830169618955944,0.4830169618955944,0.005841189057891389
cr_social,numbered_blank,hmm,mix=1;strength=0.25;alpha=1,115262,0,115262,0.05364833450809334,0.053064709436226085,0.0071579166558213385
cr_social,augmented,hmm,mix=1;strength=0.25;alpha=1,132557,17295,115262,0.09885346961855491,0.1350336512613336,0.0068878628764560326
cr_social,canonical,hmm,mix=1;strength=0.5;alpha=1,17295,17295,0,0.4878068159757841,0.4878068159757841,0.005494187727719623
cr_social,numbered_blank,hmm,mix=1;strength=0.5;alpha=1,115262,0,115262,0.05573229010739005,0.05513547318822104,0.005413987870584867
cr_social,augmented,hmm,mix=1;strength=0.5;alpha=1,132557,17295,115262,0.10087133592867298,0.13711327576321508,0.005326211599975859
cr_social,canonical,hmm,mix=1;strength=1;alpha=1,17295,17295,0,0.5155197825523189,0.5155197825523189,0.0037591810768607945
cr_social,numbered_blank,hmm,mix=1;strength=1;alpha=1,115262,0,115262,0.05923132926624391,0.05861450312366523,0.003991080802033716
cr_social,augmented,hmm,mix=1;strength=1;alpha=1,132557,17295,115262,0.10653546219522501,0.14455596701167114,0.0038475466232120227
cr_social,canonical,hmm,mix=1;strength=2;alpha=1,17295,17295,0,0.528951170243811,0.528951170243811,0.0026025099762882423
cr_social,numbered_blank,hmm,mix=1;strength=2;alpha=1,115262,0,115262,0.061961234775929686,0.061318903114031584,0.0025508212082563314
cr_social,augmented,hmm,mix=1;strength=2;alpha=1,132557,17295,115262,0.10971309813906427,0.14829809111913653,0.002436779528034281
cr_social,canonical,hmm,mix=1;strength=4;alpha=1,17295,17295,0,0.5841801134737753,0.5841801134737753,0.0019663408709733386
cr_social,numbered_blank,hmm,mix=1;strength=4;alpha=1,115262,0,115262,0.061931975921809206,0.06126260928807176,0.0015270222199085521
cr_social,augmented,hmm,mix=1;strength=4;alpha=1,132557,17295,115262,0.11569175550736936,0.15901717964483197,0.001478664976763836
cr_social,canonical,hmm,mix=1;strength=8;alpha=1,17295,17295,0,0.7256486908015319,0.7256486908015319,0.0009253368804580418
cr_social,numbered_blank,hmm,mix=1;strength=8;alpha=1,115262,0,115262,0.06762470621029482,0.06693190104150701,0.0008676262613116774
cr_social,augmented,hmm,mix=1;strength=8;alpha=1,132557,17295,115262,0.13579365399005175,0.19017339311544504,0.0007921419518377693
cr_social,canonical,hmm,mix=1;strength=12;alpha=1,17295,17295,0,0.7412815410332784,0.7412815410332784,0.0006940026603435314
cr_social,numbered_blank,hmm,mix=1;strength=12;alpha=1,115262,0,115262,0.0695034583406142,0.06879915343023311,0.000616014645531291
cr_social,augmented,hmm,mix=1;strength=12;alpha=1,132557,17295,115262,0.13904305966661878,0.19450451047388256,0.0005582714708189993
