domain,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio,excess_flips
CR,prob_mean,31,social,17295,0.33483665799363976,0.1682283191643698,4,17291,6,120,0.0003470013301717657,0.006940026603435313,20.0,114
CR,label_majority,31,task,65346,0.6988951121721299,0.4425957857703953,5,65341,25,446,0.00038260816332777274,0.0068257296337674665,17.84,421
CR,label_majority,31,social,17295,0.3357039606822781,0.1682724191602929,4,17291,6,130,0.0003470013301717657,0.007518362153721589,21.666666666666668,124
CR,logit_mean,61,task,65346,0.7066232057050164,0.45234309331895345,5,65341,25,297,0.00038260816332777274,0.00454538498033394,11.88,272
CR,logit_mean,61,social,17295,0.33553050014455044,0.1713209593400952,4,17291,6,77,0.0003470013301717657,0.004453183737204326,12.833333333333334,71
CR,prob_mean,61,task,65346,0.7063324457503137,0.45286398424065044,5,65341,25,308,0.00038260816332777274,0.00471373257219816,12.32,283
CR,prob_mean,61,social,17295,0.3348944781728823,0.17115746462865164,4,17291,6,77,0.0003470013301717657,0.004453183737204326,12.833333333333334,71
CR,label_majority,61,task,65346,0.7018639243411992,0.4473143890352346,5,65341,25,300,0.00038260816332777274,0.004591297959933273,12.0,275
CR,label_majority,61,social,17295,0.33628216247470366,0.1728984946966539,4,17291,6,67,0.0003470013301717657,0.00387484818691805,11.166666666666666,61
CR,logit_mean,121,task,65346,0.7193707342454014,0.46710498353000285,5,65341,25,181,0.00038260816332777274,0.002770083102493075,7.24,156
CR,logit_mean,121,social,17295,0.3305001445504481,0.16789291973661033,4,17291,6,47,0.0003470013301717657,0.0027181770863454976,7.833333333333333,41
CR,prob_mean,121,task,65346,0.7190952774462094,0.4665955801808647,5,65341,25,182,0.00038260816332777274,0.0027853874290261855,7.28,157
CR,prob_mean,121,social,17295,0.3289968198901417,0.1675177991861978,4,17291,6,49,0.0003470013301717657,0.002833844196402753,8.166666666666666,43
CR,label_majority,121,task,65346,0.7143053897713708,0.45882568050276257,5,65341,25,199,0.00038260816332777274,0.003045560980089071,7.96,174
CR,label_majority,121,social,17295,0.3364556230124313,0.17485956996179894,4,17291,6,50,0.0003470013301717657,0.0028916777514313803,8.333333333333334,44
CR,logit_ema,0.15,task,65346,0.6982523796406819,0.4416754406178805,5,65341,25,642,0.00038260816332777274,0.009825377634257204,25.68,617
CR,logit_ema,0.15,social,17295,0.33761202659728246,0.16846751265939008,4,17291,6,176,0.0003470013301717657,0.01017870568503846,29.333333333333332,170
CR,logit_ema,0.25,task,65346,0.6964006978238912,0.43984281683604814,5,65341,25,817,0.00038260816332777274,0.012503634777551615,32.68,792
CR,logit_ema,0.25,social,17295,0.33865278982364844,0.16948205736784633,4,17291,6,203,0.0003470013301717657,0.011740211670811405,33.833333333333336,197
CR,logit_ema,0.4,task,65346,0.6950081106724206,0.43802537036353856,5,65341,25,996,0.00038260816332777274,0.015243109226978467,39.84,971
CR,logit_ema,0.4,social,17295,0.339230991616074,0.17009720654122285,4,17291,6,231,0.0003470013301717657,0.013359551211612978,38.5,225
CR,logit_ema,0.6,task,65346,0.6940593150307593,0.4368351811001018,5,65341,25,1243,0.00038260816332777274,0.01902327788065686,49.72,1218
CR,logit_ema,0.6,social,17295,0.3393466319745591,0.17004670006546926,4,17291,6,276,0.0003470013301717657,0.015962061187901222,46.0,270
CR,hysteresis,0.25,task,65346,0.7034707556698191,0.4481768655282664,5,65341,25,473,0.00038260816332777274,0.007238946450161461,18.92,448
CR,hysteresis,0.25,social,17295,0.34073431627638046,0.16945038962939832,4,17291,6,140,0.0003470013301717657,0.008096697704007866,23.333333333333332,134
CR,hysteresis,0.5,task,65346,0.6985584427508952,0.4428300207707445,5,65341,25,254,0.00038260816332777274,0.003887298939410171,10.16,229
CR,hysteresis,0.5,social,17295,0.32928592078635444,0.15604696710399615,4,17291,6,79,0.0003470013301717657,0.004568850847261581,13.166666666666666,73
CR,hysteresis,1.0,task,65346,0.7133259878186882,0.4531419686938603,5,65341,25,96,0.00038260816332777274,0.0014692153471786474,3.84,71
CR,hysteresis,1.0,social,17295,0.33865278982364844,0.1640877556154876,4,17291,6,37,0.0003470013301717657,0.0021398415360592217,6.166666666666667,31
CR,baseline,none,mean,82641,0.5164258576449774,0.3027811039831947,9,82632,31,2092,0.0003751573240391132,0.025317068448058862,67.48387096774194,2061
CR,hysteresis,0.25,mean,82641,0.5221025359730997,0.30881362757883235,9,82632,31,613,0.0003751573240391132,0.007418433536644399,19.774193548387096,582
CR,hysteresis,0.5,mean,82641,0.5139221817686248,0.2994384939373703,9,82632,31,333,0.0003751573240391132,0.004029915771129829,10.741935483870968,302
CR,hysteresis,1.0,mean,82641,0.5259893888211683,0.30861486215467393,9,82632,31,133,0.0003751573240391132,0.001609545938619421,4.290322580645161,102
CR,label_majority,121,mean,82641,0.525380506391901,0.31684262523228074,9,82632,31,249,0.0003751573240391132,0.0030133604414754574,8.03225806451613,218
CR,label_majority,15,mean,82641,0.5180514217348182,0.3052663125235287,9,82632,31,796,0.0003751573240391132,0.009633071933391421,25.677419354838708,765
CR,label_majority,3,mean,82641,0.5166511458426821,0.303023986201193,9,82632,31,1401,0.0003751573240391132,0.016954690676735405,45.193548387096776,1370
CR,label_majority,31,mean,82641,0.5172995364272039,0.3054341024653441,9,82632,31,576,0.0003751573240391132,0.0069706651176299735,18.580645161290324,545
