run,head,mode,param,target_subset,n_frames,soft_kappa,confidence_weighted_soft_kappa,soft_nll,confidence_weighted_soft_nll
cc_task_shared_linear,task,hmm,mix=1.0;strength=1.0;alpha=1.0,augmented,563512,0.21387048214975057,0.2561376021908184,1.648994003825441,1.5397520716756543
cc_task_shared_linear,task,hmm,mix=1.0;strength=2.0;alpha=1.0,canonical,215692,0.4149911523649376,0.4149911523649376,1.139776902762971,1.139776902762971
cc_task_shared_linear,task,hmm,mix=1.0;strength=2.0;alpha=1.0,numbered_blank,347820,0.10173799105170074,0.09420974329635586,1.9647724379648914,1.9962521768858994
cc_task_shared_linear,task,hmm,mix=1.0;strength=2.0;alpha=1.0,augmented,563512,0.2183027972758658,0.262171948895467,1.648994003825441,1.5397520716756543
cc_task_shared_linear,task,hmm,mix=1.0;strength=4.0;alpha=1.0,canonical,215692,0.4156929497051948,0.4156929497051948,1.139776902762971,1.139776902762971
cc_task_shared_linear,task,hmm,mix=1.0;strength=4.0;alpha=1.0,numbered_blank,347820,0.1039568563259023,0.09602313706703287,1.9647724379648914,1.9962521768858994
cc_task_shared_linear,task,hmm,mix=1.0;strength=4.0;alpha=1.0,augmented,563512,0.21978774633465112,0.26323857014523344,1.648994003825441,1.5397520716756543
cc_task_shared_linear,task,hmm,mix=1.0;strength=8.0;alpha=1.0,canonical,215692,0.4288467555086964,0.4288467555086964,1.139776902762971,1.139776902762971
cc_task_shared_linear,task,hmm,mix=1.0;strength=8.0;alpha=1.0,numbered_blank,347820,0.10832417438002455,0.10023281051476461,1.9647724379648914,1.9962521768858994
cc_task_shared_linear,task,hmm,mix=1.0;strength=8.0;alpha=1.0,augmented,563512,0.2271917771511134,0.2717755979547112,1.648994003825441,1.5397520716756543
cc_task_shared_linear,task,hmm,mix=1.0;strength=12.0;alpha=1.0,canonical,215692,0.42165045709226656,0.42165045709226656,1.139776902762971,1.139776902762971
cc_task_shared_linear,task,hmm,mix=1.0;strength=12.0;alpha=1.0,numbered_blank,347820,0.10841630225135394,0.09948619941178431,1.9647724379648914,1.9962521768858994
cc_task_shared_linear,task,hmm,mix=1.0;strength=12.0;alpha=1.0,augmented,563512,0.22452460306159897,0.26762897668266317,1.648994003825441,1.5397520716756543
cc_social_submitted_head_adapter_bias,social,raw,none,canonical,184616,0.4922787081398493,0.4922787081398493,0.9488994397526128,0.9488994397526128
cc_social_submitted_head_adapter_bias,social,raw,none,numbered_blank,378896,0.09008487772630104,0.08787441674767033,2.224536627888344,2.2320685417209862
cc_social_submitted_head_adapter_bias,social,raw,none,augmented,563512,0.20467883263351627,0.25967306772353577,1.8066164502792506,1.6212935825546937
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.5;strength=0.25;alpha=1.0,canonical,184616,0.494226486770147,0.494226486770147,0.9488994397526128,0.9488994397526128
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.5;strength=0.25;alpha=1.0,numbered_blank,378896,0.09062037909438589,0.08824255339935771,2.224536627888344,2.2320685417209862
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.5;strength=0.25;alpha=1.0,augmented,563512,0.20556490591589677,0.2606310060527916,1.8066164502792506,1.6212935825546937
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.5;strength=0.5;alpha=1.0,canonical,184616,0.49563101225300144,0.49563101225300144,0.9488994397526128,0.9488994397526128
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.5;strength=0.5;alpha=1.0,numbered_blank,378896,0.09118355559419274,0.0887190457842241,2.224536627888344,2.2320685417209862
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.5;strength=0.5;alpha=1.0,augmented,563512,0.20633172222854332,0.2614585046992427,1.8066164502792506,1.6212935825546937
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.5;strength=1.0;alpha=1.0,canonical,184616,0.49797125981074664,0.49797125981074664,0.9488994397526128,0.9488994397526128
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.5;strength=1.0;alpha=1.0,numbered_blank,378896,0.09107387026977169,0.08840040844056017,2.224536627888344,2.2320685417209862
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.5;strength=1.0;alpha=1.0,augmented,563512,0.2068917699440799,0.26222756942100006,1.8066164502792506,1.6212935825546937
