scope,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio
CR,baseline,none,task,65346,0.7034095430477765,0.40366811967849764,5,65341,25,2086,0.00038260816332777274,0.03192482514806936,83.44
CR,baseline,none,social,17295,0.19098005203816132,0.07326783888344188,4,17291,6,457,0.0003470013301717657,0.02642993464808282,76.16666666666667
CR,hmm_uniform_start,mix=1;strength=8;alpha=1,social,17295,0.19589476727377855,0.0753444050573488,4,17291,6,13,0.0003470013301717657,0.0007518362153721589,2.1666666666666665
CR,hmm_uniform_start,mix=1;strength=12;alpha=1,task,65346,0.8013650414715514,0.5558771402378451,5,65341,25,32,0.00038260816332777274,0.0004897384490595492,1.28
CR,hmm_uniform_start,mix=1;strength=12;alpha=1,social,17295,0.19589476727377855,0.07102269191910177,4,17291,6,9,0.0003470013301717657,0.0005205019952576485,1.5
CR,baseline,none,mean,82641,0.44719479754296887,0.23846797928096974,9,82632,31,2543,0.0003751573240391132,0.030775002420369832,82.03225806451613
CR,hmm_uniform_start,mix=0.25;strength=0.25;alpha=1,mean,82641,0.4490600862938701,0.2402980377243954,9,82632,31,1057,0.0003751573240391132,0.012791654564817505,34.096774193548384
CR,hmm_uniform_start,mix=0.25;strength=0.5;alpha=1,mean,82641,0.45010070086859544,0.24205582319393137,9,82632,31,905,0.0003751573240391132,0.010952173492109595,29.193548387096776
CR,hmm_uniform_start,mix=0.25;strength=12;alpha=1,mean,82641,0.46263760065209225,0.2564318040022061,9,82632,31,228,0.0003751573240391132,0.002759221609061865,7.354838709677419
CR,hmm_uniform_start,mix=0.25;strength=1;alpha=1,mean,82641,0.4528893419401572,0.24584177190756243,9,82632,31,744,0.0003751573240391132,0.009003775776938717,24.0
CR,hmm_uniform_start,mix=0.25;strength=2;alpha=1,mean,82641,0.4565162269590952,0.2503780206962245,9,82632,31,574,0.0003751573240391132,0.00694646141930487,18.516129032258064
CR,hmm_uniform_start,mix=0.25;strength=4;alpha=1,mean,82641,0.4585813605867004,0.2522303143551231,9,82632,31,410,0.0003751573240391132,0.004961758156646336,13.225806451612904
CR,hmm_uniform_start,mix=0.25;strength=8;alpha=1,mean,82641,0.46263760065209225,0.25832381299788904,9,82632,31,292,0.0003751573240391132,0.003533739955465195,9.419354838709678
CR,hmm_uniform_start,mix=0.5;strength=0.25;alpha=1,mean,82641,0.4500777461353294,0.24209230453086028,9,82632,31,915,0.0003751573240391132,0.011073191983735116,29.516129032258064
CR,hmm_uniform_start,mix=0.5;strength=0.5;alpha=1,mean,82641,0.45270570407402916,0.245602098960349,9,82632,31,756,0.0003751573240391132,0.00914899796688934,24.387096774193548
CR,hmm_uniform_start,mix=0.5;strength=12;alpha=1,mean,82641,0.471367332830413,0.2703056174503366,9,82632,31,137,0.0003751573240391132,0.001657953335269629,4.419354838709677
CR,hmm_uniform_start,mix=0.5;strength=1;alpha=1,mean,82641,0.45624842173765856,0.24999870892781778,9,82632,31,585,0.0003751573240391132,0.007079581760092942,18.870967741935484
CR,hmm_uniform_start,mix=0.5;strength=2;alpha=1,mean,82641,0.4580151438328058,0.25174788161255185,9,82632,31,423,0.0003751573240391132,0.005119082195759512,13.64516129032258
CR,hmm_uniform_start,mix=0.5;strength=4;alpha=1,mean,82641,0.4613349503977347,0.2571486702377927,9,82632,31,297,0.0003751573240391132,0.003594249201277955,9.580645161290322
CR,hmm_uniform_start,mix=0.5;strength=8;alpha=1,mean,82641,0.4665169505740462,0.261876523923583,9,82632,31,185,0.0003751573240391132,0.002238842095072127,5.967741935483871
CR,hmm_uniform_start,mix=0.75;strength=0.25;alpha=1,mean,82641,0.4514508453221545,0.24381606437413772,9,82632,31,810,0.0003751573240391132,0.009802497821667151,26.129032258064516
CR,hmm_uniform_start,mix=0.75;strength=0.5;alpha=1,mean,82641,0.45523841347395455,0.2487166749386856,9,82632,31,629,0.0003751573240391132,0.007612063123245232,20.29032258064516
