corpus,branch,source_mode,smoother,param,dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:0.2,noxij,121,28100,0.5945280503397946,0.08744901640538782,0.11489145977510513,0.6227961277797052
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:0.2,noxij,122,31700,0.29906234143060606,0.08145958881940248,0.10839329541469281,0.33367117461363033
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:0.2,noxij,123,35150,0.46439504408459636,0.09390966643101827,0.12220570661271996,0.6092005772400415
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:0.2,noxij,124,34400,0.5384525069629525,0.07645639651802935,0.11129793666930615,0.5956829850631461
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:0.2,noxij,125,32750,0.2344032346109352,0.1434917380173854,0.17137236365277042,0.33766459342897626
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:0.2,noxij,126,30800,0.43406095951964735,0.08620890182132997,0.1122918872631208,0.5600002183376347
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:0.2,noxij,143,42050,0.2949403324320083,0.05133108604338986,0.07058509660475905,0.3166286285032149
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:0.2,noxij,144,38500,0.2672853754536618,0.04100189031750919,0.06041435115971519,0.27119442636756314
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:0.2,noxij,145,54698,0.5701071423077289,0.04585318121243393,0.06046375201358185,0.6550183706190205
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:0.2,noxij,146,72600,0.4660457753210575,0.05256842877388833,0.07121523060372507,0.5731306438608141
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:0.5,noxij,121,28100,0.5972035800516052,0.08603028298799094,0.11413003295219054,0.6263909401990333
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:0.5,noxij,122,31700,0.2923708343040459,0.08298720423495397,0.11051462637994455,0.3252014665513521
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:0.5,noxij,123,35150,0.45754115263359885,0.09536887066774888,0.12397350259623965,0.593393235613245
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:0.5,noxij,124,34400,0.5347610119063897,0.07767927390360416,0.1121157344064797,0.5930935282197465
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:0.5,noxij,125,32750,0.23473347843539338,0.14219478884110548,0.1710915367582292,0.3345399056575486
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:0.5,noxij,126,30800,0.43877563824696547,0.08609021977081266,0.11196728898885258,0.5625324879285878
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:0.5,noxij,143,42050,0.3092935990209613,0.05032401814203619,0.06986172612416795,0.3277598775037145
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:0.5,noxij,144,38500,0.26163143140831413,0.04096241650036091,0.061148408843398734,0.2650215061808998
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:0.5,noxij,145,54698,0.5786117526256929,0.045127651135179546,0.06037499080500496,0.6501088093076524
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:0.5,noxij,146,72600,0.47375001678995277,0.0519030018739761,0.07041139099464218,0.5761676026910388
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:1,noxij,121,28100,0.5999366544272859,0.08755484080134338,0.11501087190147923,0.6249045651822385
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:1,noxij,122,31700,0.2703011202246376,0.08587033949909902,0.11361970216387579,0.2987011447119915
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:1,noxij,123,35150,0.43241839695334433,0.10017453799461402,0.12931473429704196,0.5585465087154861
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:1,noxij,124,34400,0.5151062262674101,0.0815516155644125,0.11562742779645803,0.5744442753313947
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:1,noxij,125,32750,0.24427435471024714,0.14043666029476937,0.1703344312110151,0.33740547901969614
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:1,noxij,126,30800,0.4191435818515385,0.08873072525147688,0.11461059858625594,0.5307355003749737
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:1,noxij,143,42050,0.28815473140676207,0.05213499358448773,0.07243195179854095,0.30066031340082344
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:1,noxij,144,38500,0.27482981325740985,0.04252551891045137,0.06305505462996497,0.27824429124642525
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:1,noxij,145,54698,0.6043938302601313,0.04490469052530589,0.05978697306166137,0.6636807783078736
noxi_j,metadata_head,single_text_xlm_roberta,deadband,0.05:1,noxij,146,72600,0.4773566375083037,0.05195783714207079,0.07115483669731464,0.5652573339061148
noxi_j,metadata_head,best_single,identity,none,noxij,121,28100,0.6961934807268426,0.06561321952217838,0.09624183313708679,0.7454018167666908
noxi_j,metadata_head,best_single,identity,none,noxij,122,31700,0.6742857232102931,0.06460502560112379,0.08346899070137087,0.6747848836202437
noxi_j,metadata_head,best_single,identity,none,noxij,123,35150,0.5849701515087259,0.07615410654507525,0.10480397019151301,0.6580775775804114
noxi_j,metadata_head,best_single,identity,none,noxij,124,34400,0.6822910696279368,0.05657024439575887,0.08353616398122324,0.7462138737131887
noxi_j,metadata_head,best_single,identity,none,noxij,125,32750,0.636975546488478,0.07331164551145247,0.09580375915912645,0.6937555404011096
noxi_j,metadata_head,best_single,identity,none,noxij,126,30800,0.6014605734701651,0.06953813120892102,0.09462113152195159,0.6243585195206172
noxi_j,metadata_head,best_single,identity,none,noxij,143,42050,0.5231784087455247,0.042681361678877004,0.06360480202089606,0.5409788562806173
noxi_j,metadata_head,best_single,identity,none,noxij,144,38500,0.5938997570590306,0.04493700122833252,0.06531768155547858,0.7287570864764084
noxi_j,metadata_head,best_single,identity,none,noxij,145,54698,0.5091197189669947,0.05935811855026348,0.08519641887765833,0.6704287487986225
noxi_j,metadata_head,best_single,identity,none,noxij,146,72600,0.561328098369916,0.05005138722846166,0.06600867147805682,0.7180107855156885
noxi_j,metadata_head,best_single,ema,0.05,noxij,121,28100,0.6997673209832138,0.06464662826639692,0.0956545150365185,0.749538549412401
noxi_j,metadata_head,best_single,ema,0.05,noxij,122,31700,0.6828298033563178,0.06391275867687134,0.08236741854097496,0.6834861173776531
noxi_j,metadata_head,best_single,ema,0.05,noxij,123,35150,0.5936252008628051,0.07531908411737166,0.10335183991083961,0.6683146357159732
noxi_j,metadata_head,best_single,ema,0.05,noxij,124,34400,0.6942929958317002,0.05510058389067478,0.08181614856395193,0.7608847077915845
noxi_j,metadata_head,best_single,ema,0.05,noxij,125,32750,0.640234046999446,0.07309410987055727,0.09555483909000358,0.6976968763922493
