domain,mode,param,head,n_frames,accuracy,kappa,n_sequences,n_transitions,true_flips,pred_flips,true_flip_rate,pred_flip_rate,flip_rate_ratio,excess_flips
CR,label_majority,31,task,65346,0.7324855385180424,0.45907048099231296,5,65341,25,400,0.00038260816332777274,0.006121730613244364,16.0,375
CR,label_majority,31,social,17295,0.5916160740098294,0.387411463655383,4,17291,6,133,0.0003470013301717657,0.007691862818807472,22.166666666666668,127
CR,logit_mean,61,task,65346,0.7487680959813914,0.4805712224239357,5,65341,25,269,0.00038260816332777274,0.004116863837406835,10.76,244
CR,logit_mean,61,social,17295,0.6102341717259323,0.412820836109852,4,17291,6,78,0.0003470013301717657,0.004511017292232954,13.0,72
CR,prob_mean,61,task,65346,0.7471459614972608,0.4786257577057555,5,65341,25,267,0.00038260816332777274,0.004086255184340613,10.68,242
CR,prob_mean,61,social,17295,0.6123735183579069,0.4147315010632293,4,17291,6,76,0.0003470013301717657,0.004395350182175698,12.666666666666666,70
CR,label_majority,61,task,65346,0.7440241177730849,0.4737266047635511,5,65341,25,262,0.00038260816332777274,0.004009733551675059,10.48,237
CR,label_majority,61,social,17295,0.6041052327262214,0.40521288936615624,4,17291,6,81,0.0003470013301717657,0.004684517957318836,13.5,75
CR,logit_mean,121,task,65346,0.7696875095644722,0.5094386669370545,5,65341,25,155,0.00038260816332777274,0.002372170612632191,6.2,130
CR,logit_mean,121,social,17295,0.6142237640936687,0.42079861701903076,4,17291,6,36,0.0003470013301717657,0.002082007981030594,6.0,30
CR,prob_mean,121,task,65346,0.7691212928105775,0.5094614691356976,5,65341,25,157,0.00038260816332777274,0.0024027792656984128,6.28,132
CR,prob_mean,121,social,17295,0.6171147730557964,0.4235083516710152,4,17291,6,40,0.0003470013301717657,0.0023133422011451044,6.666666666666667,34
CR,label_majority,121,task,65346,0.7679276466807455,0.5078784527168629,5,65341,25,165,0.00038260816332777274,0.0025252138779633003,6.6,140
CR,label_majority,121,social,17295,0.6074588031222897,0.4127935134612427,4,17291,6,42,0.0003470013301717657,0.0024290093112023597,7.0,36
CR,logit_ema,0.15,task,65346,0.7303124904355278,0.4561798901831682,5,65341,25,614,0.00038260816332777274,0.009396856491330098,24.56,589
CR,logit_ema,0.15,social,17295,0.5901705695287656,0.3854676617334423,4,17291,6,185,0.0003470013301717657,0.010699207680296108,30.833333333333332,179
CR,logit_ema,0.25,task,65346,0.7269304930676705,0.4520070342178305,5,65341,25,793,0.00038260816332777274,0.012136330940756952,31.72,768
CR,logit_ema,0.25,social,17295,0.5898814686325528,0.38480705537895366,4,17291,6,217,0.0003470013301717657,0.01254988144121219,36.166666666666664,211
CR,logit_ema,0.4,task,65346,0.7248492639182199,0.44937579453878096,5,65341,25,1012,0.00038260816332777274,0.015487978451508242,40.48,987
CR,logit_ema,0.4,social,17295,0.5899392888117954,0.38457328241872546,4,17291,6,263,0.0003470013301717657,0.015210224972529062,43.833333333333336,257
CR,logit_ema,0.6,task,65346,0.7235331925443026,0.4475430633007408,5,65341,25,1220,0.00038260816332777274,0.01867127837039531,48.8,1195
CR,logit_ema,0.6,social,17295,0.5898236484533103,0.38434070439906254,4,17291,6,311,0.0003470013301717657,0.017986235613903185,51.833333333333336,305
CR,hysteresis,0.25,task,65346,0.7270070088452238,0.452031950612233,5,65341,25,658,0.00038260816332777274,0.010070246858786979,26.32,633
CR,hysteresis,0.25,social,17295,0.5873373807458803,0.3822755774417031,4,17291,6,191,0.0003470013301717657,0.011046209010467873,31.833333333333332,185
CR,hysteresis,0.5,task,65346,0.7305573409236985,0.45830866931768005,5,65341,25,433,0.00038260816332777274,0.006626773388837024,17.32,408
CR,hysteresis,0.5,social,17295,0.5973402717548424,0.3944216049207792,4,17291,6,133,0.0003470013301717657,0.007691862818807472,22.166666666666668,127
CR,hysteresis,1.0,task,65346,0.749472041134882,0.4856307102406159,5,65341,25,226,0.00038260816332777274,0.003458777796483066,9.04,201
CR,hysteresis,1.0,social,17295,0.629141370338248,0.43324734163145506,4,17291,6,53,0.0003470013301717657,0.0030651784165172634,8.833333333333334,47
CR,baseline,none,mean,82641,0.6555807781111733,0.4144815579904786,9,82632,31,2157,0.0003751573240391132,0.026103688643624747,69.58064516129032,2126
CR,hysteresis,0.25,mean,82641,0.657172194795552,0.417153764026968,9,82632,31,849,0.0003751573240391132,0.010274469939006681,27.387096774193548,818
CR,hysteresis,0.5,mean,82641,0.6639488063392704,0.42636513711922963,9,82632,31,566,0.0003751573240391132,0.006849646626004453,18.258064516129032,535
CR,hysteresis,1.0,mean,82641,0.6893067057365649,0.45943902593603547,9,82632,31,279,0.0003751573240391132,0.003376415916352019,9.0,248
CR,label_majority,121,mean,82641,0.6876932249015176,0.4603359830890528,9,82632,31,207,0.0003751573240391132,0.002505082776648272,6.67741935483871,176
CR,label_majority,15,mean,82641,0.6576466669422031,0.41723764050696793,9,82632,31,778,0.0003751573240391132,0.009415238648465486,25.096774193548388,747
CR,label_majority,3,mean,82641,0.6564114819695248,0.41542282350141635,9,82632,31,1397,0.0003751573240391132,0.016906283280085196,45.064516129032256,1366
CR,label_majority,31,mean,82641,0.6620508062639359,0.42324097232384794,9,82632,31,533,0.0003751573240391132,0.006450285603640236,17.193548387096776,502
CR,label_majority,5,mean,82641,0.65675836588207,0.41587786856742337,9,82632,31,1169,0.0003751573240391132,0.014147061671023333,37.70967741935484,1138
CR,label_majority,61,mean,82641,0.6740646752496531,0.43946974706485364,9,82632,31,343,0.0003751573240391132,0.004150934262755349,11.064516129032258,312
CR,label_majority,9,mean,82641,0.656995490466665,0.4163823217731706,9,82632,31,920,0.0003751573240391132,0.011133701229547875,29.677419354838708,889
CR,logit_ema,0.15,mean,82641,0.6602415299821467,0.4208237759583052,9,82632,31,799,0.0003751573240391132,0.009669377480879078,25.774193548387096,768
CR,logit_ema,0.25,mean,82641,0.6584059808501117,0.4184070447983921,9,82632,31,1010,0.0003751573240391132,0.012222867654177558,32.58064516129032,979
CR,logit_ema,0.4,mean,82641,0.6573942763650076,0.4169745384787532,9,82632,31,1275,0.0003751573240391132,0.015429857682253849,41.12903225806452,1244
